data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia,ESTADO,ESTACAO
2023-06-29,0.00,18.42,48.46,4.40,0,MG,BELO HORIZONTE - CERCADINHO
2023-06-29,0.00,20.94,79.29,0.92,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-07-02,0.00,17.43,48.79,3.43,0,MG,BELO HORIZONTE - CERCADINHO
2023-07-02,1.40,20.95,77.79,1.75,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-07-03,0.00,23.92,82.42,1.37,1,BA,SALVADOR
2023-07-04,0.00,14.07,59.08,7.23,1,MG,BELO HORIZONTE - CERCADINHO
2023-07-07,0.00,21.27,68.88,1.45,0,ES,VITORIA
2023-07-07,0.00,19.24,56.21,0.34,0,GO,GOIANIA
2023-07-07,0.00,17.29,54.79,1.40,0,DF,BRASILIA
2023-07-07,2.60,23.85,80.62,1.33,0,BA,SALVADOR
2023-07-07,0.20,20.00,78.33,0.91,0,SC,FLORIANOPOLIS
2023-07-07,0.00,27.92,40.92,1.52,0,MT,CUIABA
2023-07-10,55.73,20.95,57.17,0.34,1,GO,GOIANIA
2023-07-10,0.00,20.28,45.33,4.11,0,MG,BELO HORIZONTE - CERCADINHO
2023-07-10,0.00,21.95,80.92,0.55,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-07-12,0.00,28.93,37.04,1.72,1,MT,CUIABA
2023-07-13,0.00,21.70,42.71,3.43,0,MG,BELO HORIZONTE - CERCADINHO
2023-07-13,0.00,26.94,59.21,1.89,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-07-15,0.00,20.34,64.71,0.70,0,GO,GOIANIA
2023-07-15,0.00,21.06,61.12,1.42,0,ES,VITORIA
2023-07-15,0.00,15.27,74.12,0.09,0,SC,FLORIANOPOLIS
2023-07-15,0.00,25.32,84.42,1.20,0,BA,SALVADOR
2023-07-15,0.00,21.20,55.54,0.87,0,MT,CUIABA
2023-07-15,0.00,19.90,61.71,2.05,0,DF,BRASILIA
2023-07-21,0.00,18.45,66.58,4.39,1,DF,BRASILIA
2023-07-22,0.00,28.35,31.92,2.12,1,MT,CUIABA
2023-07-23,0.00,21.58,52.21,1.31,1,GO,GOIANIA
2023-07-23,0.00,19.25,54.50,3.06,1,DF,BRASILIA
2023-07-23,0.00,17.00,63.50,20.91,1,MG,BELO HORIZONTE - CERCADINHO
2023-07-24,1.60,24.35,77.92,1.50,1,BA,SALVADOR
2023-07-25,0.20,20.16,84.67,1.21,1,SC,FLORIANOPOLIS
2023-07-27,0.00,19.44,43.33,1.87,0,DF,BRASILIA
2023-07-27,18.80,23.89,89.04,1.72,0,BA,SALVADOR
2023-07-27,0.00,22.05,73.88,1.21,0,ES,VITORIA
2023-07-27,0.00,28.82,38.21,1.00,0,MT,CUIABA
2023-07-27,1.40,18.23,74.88,3.38,0,SC,FLORIANOPOLIS
2023-07-27,0.00,22.85,41.62,0.93,0,GO,GOIANIA
2023-08-01,19.20,23.65,86.58,1.96,1,BA,SALVADOR
2023-08-01,0.00,23.12,47.17,0.93,1,GO,GOIANIA
2023-08-08,1.20,17.66,72.04,1.46,0,SC,FLORIANOPOLIS
2023-08-08,0.60,24.92,76.92,0.83,0,BA,SALVADOR
2023-08-08,0.00,22.75,72.21,1.54,0,ES,VITORIA
